player_id,name,position,team,engine_value
12505,Jalen Royals,WR,KC,420.8
8131,Isaiah Likely,TE,BAL,438.9
6149,Darius Slayton,WR,NYG,488.9
9493,Puka Nacua,WR,LAR,999.9
5010,Will Dissly,TE,LAC,346.5
12512,Quinshon Judkins,RB,CLE,748.1
9506,Sean Tucker,RB,TB,449.8
3286,Demarcus Robinson,WR,SF,384.8
4881,Lamar Jackson,QB,BAL,610.9
8885,Tucker Fisk,TE,LAC,371.8
4189,Eric Saubert,TE,SEA,284.7
1689,Adam Thielen,WR,MIN,339.1
10228,Charlie Jones,WR,CIN,377.6
6588,,,,395.1
12526,Tetairoa McMillan,WR,CAR,697.2
12492,Pat Bryant,WR,DEN,518.4
11082,Ben Sims,TE,MIN,383.7
3423,Robbie Chosen,WR,WSH,365.7
3257,Jacoby Brissett,QB,ARI,556.0
5947,Jakobi Meyers,WR,JAX,574.6
10867,Jake Bobo,WR,SEA,367.8
6427,Ashton Dulin,WR,IND,396.5
12476,Devin Neal,RB,NO,514.2
12481,Cam Skattebo,RB,NYG,810.8
2152,Teddy Bridgewater,QB,TB,244.1
8249,Lucas Krull,TE,DEN,372.3
12489,RJ Harvey,RB,DEN,523.0
11599,Cade Stover,TE,HOU,409.9
12533,Jacory Croskey-Merritt,RB,WSH,455.9
9756,Jordan Addison,WR,MIN,637.7
11560,Caleb Williams,QB,CHI,705.4
5927,Terry McLaurin,WR,WSH,579.4
4274,David Moore,WR,CAR,320.6
6111,Jake Browning,QB,CIN,501.3
6828,AJ Dillon,RB,PHI,157.4
11629,Devontez Walker,WR,BAL,487.7
12470,,,,455.3
8144,Chris Olave,WR,NO,732.6
1837,Jimmy Garoppolo,QB,LAR,188.7
6804,Jordan Love,QB,GB,601.2
2216,Mike Evans,WR,TB,549.2
6943,Gabe Davis,WR,BUF,499.6
6790,D'Andre Swift,RB,CHI,487.8
2306,Jameis Winston,QB,NYG,531.8
11593,Brevyn Spann-Ford,TE,DAL,392.1
12641,Jaylin Lane,WR,WSH,485.2
1479,Keenan Allen,WR,LAC,556.9
7746,Austin Trammell,WR,JAX,394.4
2307,Marcus Mariota,QB,WSH,491.0
3198,Derrick Henry,RB,BAL,556.7
12501,Matthew Golden,WR,GB,534.4
11610,Malik Washington,WR,MIA,567.5
2449,Stefon Diggs,WR,NE,547.2
8200,,,,431.0
12534,Kyle Monangai,RB,CHI,554.2
8527,Dareke Young,WR,SEA,405.0
11574,Dylan Laube,RB,LV,226.7
7564,Ja'Marr Chase,WR,CIN,899.1
8172,Greg Dulcich,TE,MIA,435.0
12469,Dylan Sampson,RB,CLE,517.3
8188,Tyquan Thornton,WR,KC,517.0
7670,Joshua Palmer,WR,BUF,497.0
11474,Dylan Drummond,WR,ATL,467.3
8181,Connor Heyward,TE,PIT,378.4
11237,Jacob Saylors,RB,DET,209.2
1339,Zach Ertz,TE,WSH,370.3
6154,David Sills V,WR,ATL,407.2
12374,Brenden Bates,TE,CLE,377.8
12455,Brashard Smith,RB,KC,492.7
12535,Isaac TeSlaa,WR,DET,496.0
11371,Julian Hill,TE,MIA,405.9
4144,Jonnu Smith,TE,PIT,359.5
11586,Blake Corum,RB,LAR,392.0
7607,Michael Carter,RB,ARI,357.8
12521,Elijah Arroyo,TE,SEA,411.4
12542,Efton Chism III,WR,NE,409.6
7595,Tylan Wallace,WR,BAL,416.7
7596,Elijah Moore,WR,BUF,465.3
8130,Trey McBride,TE,ARI,827.1
8147,John Metchie III,WR,NYJ,498.3
11821,Tahj Washington,WR,MIA,410.0
12547,Kyle Williams,WR,NE,458.1
4351,Tim Patrick,WR,JAX,419.4
5045,Courtland Sutton,WR,DEN,588.3
12497,Tory Horton,WR,SEA,578.2
8150,Kyren Williams,RB,LAR,605.6
7828,Noah Gray,TE,KC,399.5
7233,,,,354.1
7531,Feleipe Franks,TE,ATL,358.3
11559,Michael Penix Jr.,QB,ATL,576.8
8136,Rachaad White,RB,TB,375.2
11588,,,,379.7
8125,Calvin Austin III,WR,PIT,509.8
7600,Pat Freiermuth,TE,PIT,434.3
4037,Chris Godwin Jr.,WR,TB,521.2
9487,Parker Washington,WR,JAX,599.5
5938,Lil'Jordan Humphrey,WR,NYG,460.9
12928,Amar Johnson,RB,LAC,430.4
6904,Jalen Hurts,QB,PHI,646.3
11299,Zavier Scott,RB,MIN,262.5
3155,,,,305.4
11620,Rome Odunze,WR,CHI,659.0
1166,Kirk Cousins,QB,ATL,412.1
11381,Travis Vokolek,TE,ARI,357.3
4033,David Njoku,TE,CLE,412.9
7083,Tyler Huntley,QB,BAL,468.0
7528,Najee Harris,RB,LAC,216.8
4381,Taysom Hill,QB,NO,253.5
